rank,company_name,sector,region,headquarters_city,employee_count,key_decision_maker_role,hr_contact_path,giga_project_link,sourcing_note
11,King Salman Park Foundation (مؤسسة حديقة الملك سلمان),Real Estate,Central,Riyadh,500,Chief People Officer,careers@ksp.gov.sa; ksp.gov.sa,https://www.ksp.gov.sa,PIF-backed; massive urban park project in Riyadh
12,New Murabba Development Company (شركة المربع الجديد),Real Estate,Central,Riyadh,1000,Chief People Officer,careers@newmurabba.com; newmurabba.com,https://newmurabba.com,PIF-backed; The Mukaab and surrounding district
13,ACWA Power (أكوا باور),Renewable Energy & Water,Central,Riyadh,4000,Chief People & Culture Officer,careers@acwapower.com; acwapower.com/careers,https://www.acwapower.com,PIF largest shareholder; renewables/water pure play
14,Saudi Airlines Group (مجموعة الخطوط السعودية),Aviation,Central,Riyadh,30000,Group Chief Human Resources Officer,careers@saudia.com; saudia.com/en/careers,https://www.saudia.com,PIF owns 100%; national carrier
15,Nahdi Medical Company (نهدي الطبية),Healthcare Retail,Central,Riyadh,12000,Chief Human Resources Officer,careers@nahdi.sa; nahdi.sa/en/careers,https://www.nahdi.sa,2nd largest Best Places to Work 2025; pharmacy retail chain
16,Al-Rajhi Bank (مصرف الراجحي),Banking,Central,Riyadh,10000,Group CHRO,careers@alrajhibank.com.sa; alrajhibank.com.sa/en/careers,https://www.alrajhibank.com.sa,World's largest Islamic bank by assets
17,Saudi Pharmaceutical Industries & Medical Appliances - SPIMACO (سبيماكو أدوية),Healthcare,Central,Riyadh,2500,Chief People Officer,careers@spimaco.com.sa; spimaco.com.sa,https://www.spimaco.com.sa,Leading Saudi pharmaceutical manufacturer
18,Saudi Entertainment Ventures - SEV (شركة رؤى السعودية للترفيه),Entertainment,Central,Riyadh,300,Chief People Officer,careers@sev.sa,https://sev.sa,PIF-backed; entertainment ecosystem developer
19,Elm Company (شركة علم),Technology,Central,Riyadh,3500,Chief People Officer,careers@elm.sa; elm.sa/en/careers,https://www.elm.sa,Major Saudi IT/digital services provider
20,Kingdom Holding Company (شركة القابضة للاستثمار),Conglomerate,Central,Riyadh,2000,Chief Human Resources Officer,careers@kingdom.com.sa,https://www.kingdom.com.sa,Alwaleed bin Talal's investment vehicle
21,Red Sea Global - RSG (البحر الأحمر العالمية),Tourism & Hospitality,Northwest,Umluj,1500,Chief People & Sustainability Officer,careers@redseaglobal.com; redseaglobal.com/en/careers,https://www.redseaglobal.com,PIF wholly-owned; Red Sea and Amaala luxury tourism destinations
22,NEOM (نيوم),Giga-project,Northwest,NEOM,3000,Chief People Officer,careers@neom.com; neom.com/en/careers,https://www.neom.com,PIF wholly-owned; flagship $500B giga-project; The Line/Trojena/Oxagon/Sindalah
23,The Royal Commission for AlUla - RCU (الهيئة الملكية لمحافظة العلا),Tourism & Culture,Northwest,AlUla,800,Chief People Officer,careers@rcu.gov.sa; rcu.gov.sa/en/careers,https://www.rcu.gov.sa,PIF-backed; AlUla cultural heritage development
24,NEOM - Oxagon (أوكساجون),Industrial,Northwest,NEOM,500,Chief People Officer,careers@neom.com,https://neom.com/regions/oxagon,PIF wholly-owned; NEOM industrial city
25,NEOM - Trojena (تروجينا),Tourism & Sports,Northwest,NEOM,500,Chief People Officer,careers@neom.com,https://neom.com/regions/trojena,PIF wholly-owned; NEOM mountain destination
26,Jeddah Economic Company - JEC (شركة جدة الاقتصادية),Real Estate,Western,Jeddah,500,Chief People Officer,careers@jec.sa,https://jec.sa,Jeddah Tower and downtown redevelopment
27,Jeddah Central Development Company - JCDC (شركة تطوير جدة المركزية),Real Estate,Western,Jeddah,800,Chief People Officer,careers@jcdc.gov.sa,https://www.jcdc.gov.sa,PIF-backed; Jeddah central district redevelopment
28,Thakher Investment Company (شركة ثاخر للاستثمار),Real Estate,Western,Makkah,500,Chief People Officer,careers@thakher.com,https://thakher.com,Thakher Makkah development project
29,Saudi Aramco - Eastern HQ (أرامكو - المنطقة الشرقية),Energy,Eastern,Dhahran,70000,SVP Human Resources & Corporate Services,careers@aramco.com,https://www.aramco.com,Aramco's original headquarters; massive workforce in Eastern Province
30,SABIC - Eastern Operations (سابك - المنطقة الشرقية),Petrochemicals,Eastern,Jubail,33000,Chief Human Resources Officer,careers@sabic.com,https://www.sabic.com,SABIC's primary industrial operations in Jubail Industrial City
31,Saudi Iron & Steel Company - Hadeed (الحديد والصلب),Steel,Eastern,Jubail,6000,Chief People Officer,careers@hadeed.com.sa,https://www.hadeed.com.sa,SABIC subsidiary; largest steel producer in Saudi Arabia
32,Sadara Chemical Company (سادارا للكيماويات),Petrochemicals,Eastern,Jubail,4000,Chief People Officer,careers@sadara.com; sadara.com/en/careers,https://www.sadara.com,Aramco/Dow joint venture; largest chemical complex in single phase
33,Petro Rabigh (بترو رابغ),Petrochemicals,Eastern,Rabigh,3500,Chief People Officer,careers@petrorabigh.com; petrorabigh.com/en/careers,https://www.petrorabigh.com,Aramco/Sumitomo joint venture
34,Saudi Aramco Total Refining & Petrochemical Company - SATORP (ساتورب),Refining,Eastern,Jubail,2500,Chief People Officer,careers@satorp.com.sa,https://www.satorp.com.sa,Aramco/TotalEnergies joint venture
35,Saudi Electricity Company - Eastern HQ (الكهرباء - المنطقة الشرقية),Utilities,Eastern,Dammam,30000,EVP Human Resources,careers@sec.com.sa,https://www.sec.gov.sa,SEC Eastern operations hub
36,Eastern Province Industrial City - Jubail (مدينة الجبيل الصناعية),Industrial,Eastern,Jubail,500,CEO / HR Director,careers@modon.gov.sa,https://www.modon.gov.sa,MODON-managed; largest industrial city in KSA
37,Marafiq - Power & Water Utility Company for Jubail & Yanbu (مرافق),Utilities,Eastern,Jubail,2000,Chief People Officer,careers@marafiq.com.sa,https://www.marafiq.com.sa,Water/electricity utility for Jubail and Yanbu industrial cities
38,Jazan Economic City (مدينة جازان الاقتصادية),Industrial,South,Jazan,500,CEO / HR Director,careers@jazec.com,https://jazec.com,Industrial city in Jazan region
39,Jazan Refinery and Terminal Project (مشروع مصفاة جازان),Energy,South,Jazan,1500,Chief People Officer,careers@jazanrefinery.com,https://jazanrefinery.com,Aramco Jazan refinery complex
40,Asir Development Authority (هيئة تطوير عسير),Development,South,Abha,500,Chief People Officer,careers@asir.gov.sa,https://www.asir.gov.sa,Regional development authority for Asir region
41,Khamis Mushait Industrial City (مدينة خميس مشيط الصناعية),Industrial,South,Khamis Mushait,300,CEO / HR Director,careers@modon.gov.sa,https://www.modon.gov.sa,MODON-managed industrial city
42,SABIC - Asir Operations (سابك - عسير),Petrochemicals,South,Abha,1500,Chief Human Resources Officer,careers@sabic.com,https://www.sabic.com,SABIC operations in Asir region
43,Asir Tourism Development Company (شركة تطوير سياحة عسير),Tourism,South,Abha,800,Chief People Officer,careers@asirtourism.sa,https://asirtourism.sa,Regional tourism development
44,National Development Fund - NDF (الصندوق الوطني للتنمية),Sovereign Fund,Central,Riyadh,500,Chief People Officer,careers@ndf.gov.sa,https://www.ndf.gov.sa,Government fund supporting Vision 2030 projects
45,Saudi Downtown Company (الشركة السعودية لمدن الوسط),Real Estate,Central,Riyadh,800,Chief People Officer,careers@saudidowntown.com,https://saudidowntown.com,PIF-backed; downtown development across KSA cities
46,Alinma Bank (بنك الإنماء),Banking,Central,Riyadh,3000,Chief Human Resources Officer,careers@alinma.com; alinma.com/en/careers,https://www.alinma.com,Saudi Islamic bank
47,Saudi Industrial Development Fund - SIDF (الصندوق الصناعي التنموي),Development Finance,Central,Riyadh,600,Chief People Officer,careers@sidf.gov.sa,https://www.sidf.gov.sa,Industrial financing and development support
48,Saudi Fund for Development (الصندوق السعودي للتنمية),Development Finance,Central,Riyadh,400,Chief People Officer,careers@sfd.gov.sa,https://www.sfd.gov.sa,Kingdom's international development finance arm
49,Riyad Bank (بنك الرياض),Banking,Central,Riyadh,5000,Chief Human Resources Officer,careers@riyadbank.com; riyadbank.com/en,https://www.riyadbank.com,Major Saudi commercial bank
50,Saudi International Petrochemical Company - Sipchem (الشركة السعودية العالمية للبتروكيماويات),Petrochemicals,Central,Riyadh,2000,Chief People Officer,careers@sipchem.com; sipchem.com/en,https://www.sipchem.com,Leading petrochemical producer
